Date,Time,Detection,Location,Summary,Image,Status
2025-06-25,12:30:11,NonViolence,BAY_Entrance,"The image shows a large, open indoor space with a tiled floor. There are several people walking around the area, some of them carrying backpacks. A person is also seen smoking a cigarette. In the center of the scene, there is a small table with a sign on it.",C:\Users\oosma\Oculume_Codes\Dashboard\Code3\Dataset\20250625\202506251643.jpg,pending
2025-06-25,12:30:00,NonViolence,BAY_Entrance,"The image shows a large, open indoor space with a tiled floor. There are several people in the area, some walking and others standing. A person is holding a knife, and another person is smoking a cigarette. The overall atmosphere appears to be calm and orderly.",C:\Users\oosma\Oculume_Codes\Dashboard\Code3\Dataset\20250625\202506252556.jpg,pending
2025-06-25,12:29:52,NonViolence,BAY_Entrance,"The image shows a large open space with a tiled floor, where people are walking around and interacting. There are at least two people visible in the scene, one of them is holding a knife. The overall atmosphere appears to be busy and lively.",C:\Users\oosma\Oculume_Codes\Dashboard\Code3\Dataset\20250625\202506254646.jpg,pending
2025-06-25,12:29:45,NonViolence,101st_INT_PTZ,"The image shows a hallway with a long walkway, and several people are walking down the hallway. There is a person with a gun visible in the image, which suggests that there might be a potential threat or an ongoing conflict. The individuals in the scene appear to be walking cautiously and carefully, possibly trying to avoid any confrontation or danger.",C:\Users\oosma\Oculume_Codes\Dashboard\Code3\Dataset\20250625\202506253921.jpg,pending
2025-06-25,12:29:42,NonViolence,BAY_Entrance,"The image shows a group of people walking through a large, open space with a tiled floor. There are at least six people visible in the scene, some of them walking and others standing. A person is also seen lying on the floor, possibly resting or sleeping. The overall atmosphere appears to be relaxed and casual, with people engaging in various activities within the space.",C:\Users\oosma\Oculume_Codes\Dashboard\Code3\Dataset\20250625\202506253765.jpg,pending
2025-06-25,12:29:41,NonViolence,101st_INT_PTZ,"The image shows a hallway with a long walkway, and there are several people walking through it. Some of the individuals are carrying handbags, and one person is holding a knife. The hallway appears to be empty, with no visible signs of conflict or disturbance.",C:\Users\oosma\Oculume_Codes\Dashboard\Code3\Dataset\20250625\202506254713.jpg,pending
2025-06-25,12:29:25,NonViolence,100_Street_Entracne,"The image shows a man walking through a large, checkered-tiled room. He is wearing a black jacket and appears to be in a fighting stance. There is a large blue ball in the background, and a security camera is visible, suggesting that the scene might be taking place in a public or commercial space.",C:\Users\oosma\Oculume_Codes\Dashboard\Code3\Dataset\20250625\202506251914.jpg,pending
2025-06-25,12:29:20,NonViolence,100_Street_Entracne,"The image shows a large, empty room with a checkered floor. There are two people in the room, one standing near the left side and the other near the right side. The person on the left is holding a cell phone, while the person on the right is holding a knife. The room appears to be a public space, possibly a mall or a similar location.",C:\Users\oosma\Oculume_Codes\Dashboard\Code3\Dataset\20250625\202506251983.jpg,pending
2025-06-25,12:29:13,NonViolence,BAY_Entrance,"The image shows a large, open indoor space with a tiled floor. There are several people walking around, some of whom are carrying handbags. A person is also seen lying on the floor. In the background, there is a counter with a sign above it.",C:\Users\oosma\Oculume_Codes\Dashboard\Code3\Dataset\20250625\202506254830.jpg,pending
2025-06-25,12:29:09,NonViolence,BAY_Entrance,"The image shows a large, open indoor space with a tiled floor. Several people are walking around the area, and there is a person lying on the floor. A sign is visible in the background, but the image does not provide enough information to determine the content of the sign.",C:\Users\oosma\Oculume_Codes\Dashboard\Code3\Dataset\20250625\202506251066.jpg,pending
