Date,Time,Detection,Location,Summary,Image,Status
2025-08-15,11:53:41,Smoking_Drugs,Ghar,The man is sitting in a chair and holding a gun in his hand.,Dataset\20250815\20250815306.jpg,pending
2025-08-15,11:53:33,guns,Ghar,"The image shows a man in a dark shirt standing in a room, with a blurred background. There is a couch and a chair in the room, as well as a bottle and a cup. The man appears to be in a fighting stance, possibly engaged in a physical altercation.",Dataset\20250815\202508152941.jpg,pending
2025-08-15,11:50:13,Person_Fallen,Ghar,The man is sitting in a chair and holding a gun in his hand.,Dataset\20250815\202508153892.jpg,pending
2025-08-15,11:49:49,guns,Ghar,The man is sitting in a chair and holding a gun up in the air.,Dataset\20250815\202508154421.jpg,pending
2025-08-15,11:48:55,guns,Ghar,"The man is sitting in a chair and holding a gun in his hand. He is also looking at the camera, which suggests that he might be posing for a picture or engaging in a conversation.",Dataset\20250815\20250815665.jpg,pending
2025-08-15,11:48:46,Person_Fallen,Ghar,The man is sitting in a chair and holding a gun in his hand.,Dataset\20250815\202508153439.jpg,pending
2025-08-15,11:47:26,guns,Ghar,The man is sitting in a chair and holding a gun in his hand.,Dataset\20250815\202508151929.jpg,pending
2025-08-15,11:45:38,Smoking_Drugs,100_Street_Entracne,"The image shows a person in a fighting stance, with their mouth open and a hand in their mouth, suggesting they are in the middle of an intense confrontation.",C:\Users\oosma\Oculume_Codes\Dashboard\Code3\Dataset\20250815\202508151697.jpg,pending
2025-08-15,11:45:32,guns,100_Street_Entracne,"The man is holding a gun in his hand, and he is pointing it at the camera.",C:\Users\oosma\Oculume_Codes\Dashboard\Code3\Dataset\20250815\202508154561.jpg,pending
2025-08-15,11:31:02,guns,Ghar,The man is sitting on a couch and holding a knife in his hand. He is also looking down at the knife.,Dataset\20250815\202508151280.jpg,pending
2025-08-15,11:30:55,guns,Ghar,"The man is sitting on a couch and holding a remote control in his hand. He appears to be playing a video game, as he is making a fighting stance with his arms. There is a bottle visible in the background, and the man is also holding a cigarette in his mouth.",Dataset\20250815\20250815157.jpg,pending
2025-08-15,11:30:48,guns,Ghar,The man is sitting on a couch and holding a gun in his hand.,Dataset\20250815\202508151653.jpg,pending
2025-08-15,11:29:43,guns,Ghar,"The man is sitting on a couch and holding a gun in his hand. He appears to be in a fighting stance, possibly preparing to engage in a physical altercation.",Dataset\20250815\202508154896.jpg,pending
2025-08-15,11:29:33,guns,Ghar,"The man is sitting on a couch and holding a gun in his hand. He appears to be in a fighting stance, possibly preparing to engage in a confrontation.",Dataset\20250815\202508152520.jpg,pending
2025-08-15,11:28:32,guns,Ghar,"A man is sitting in a room, holding a gun in his hand. He appears to be in a fighting stance, possibly preparing for an altercation.",Dataset\20250815\202508152489.jpg,pending
2025-08-12,22:14:23,guns,Ghar,"The image shows a man standing in a room, wearing a red shirt. He has his hands on his hips and appears to be in a fighting stance. There is a chair visible in the background, and a towel is draped over the chair. The man's posture suggests he is ready to engage in a physical altercation.",Dataset\20250812\202508121901.jpg,pending
2025-08-12,22:14:18,Weapon_tool,Ghar,"The image shows a man wearing a red shirt standing in a room. There are several books scattered around the room, and a person is standing in a fighting stance.",Dataset\20250812\202508121614.jpg,pending
2025-08-12,22:13:35,knife,Ghar,"The image shows a man standing in a room with a poster of a man holding a shield on the wall. There is also a bed in the room. The man appears to be holding a knife, and there is a sign that says ""DSW"" in the room.",Dataset\20250812\202508123106.jpg,pending
2025-08-12,22:13:28,knife,Ghar2,"The image shows a man standing in a room, holding a pencil in his hand. He is wearing a red shirt and appears to be in a fighting stance. There is a chair in the room, and a clock can be seen on the wall. The image also contains some text that reads ""oculune1"" and ""12.08.2025 20:13:23 TUE"".",Dataset\20250812\20250812218.jpg,pending
2025-08-12,22:13:22,Weapon_tool,Ghar,"The man is standing in a room with a red shirt on, and there is a knife in his hand. He is also holding a book in his hand.",Dataset\20250812\20250812765.jpg,pending
2025-08-12,22:10:31,knife,Ghar,The image shows a man in a red shirt standing in a room with an open door. He is holding a pencil in his hand and appears to be in a fighting stance. There is also a chair and a potted plant in the room.,Dataset\20250812\202508121735.jpg,reject
2025-08-12,22:10:24,Weapon_tool,Ghar,"The image shows a man in a red shirt standing in a room, holding a pencil in his hand. There is another person in the background, but they are not the main focus of the image. The man in the red shirt appears to be in a fighting stance, suggesting that he might be engaged in a physical altercation or confrontation.",Dataset\20250812\202508124510.jpg,reject
2025-08-12,22:09:27,guns,Ghar,"The man is standing in a room with a red shirt on, and he is holding a cigarette in his hand.",Dataset\20250812\20250812731.jpg,reject
2025-08-12,22:09:06,Weapon_tool,Ghar,"The man is standing in a room, smoking a cigarette. He is wearing a red shirt and has a beard. There is a poster of a man on the wall, and a chair is visible in the room.",Dataset\20250812\202508122444.jpg,reject
2025-08-12,22:08:58,Weapon_tool,Ghar,"The man is standing in a room, holding a toothbrush in his mouth. He is wearing a red shirt and appears to be in a relaxed posture. There are some books and a chair in the room, suggesting a casual setting.",Dataset\20250812\202508122879.jpg,reject
2025-08-12,22:08:46,Weapon_tool,Ghar,"The man is standing in a room, smoking a cigarette. He is wearing a red shirt and has a beard. There is a poster of a man on the wall behind him. The room appears to be a bedroom, with a bed, a dresser, and a chair visible.",Dataset\20250812\202508121597.jpg,reject
2025-08-12,22:08:42,Violence,Ghar2,"The image shows a person standing in a room, possibly in a work environment, with a chair in front of them. The person appears to be in a fighting stance, suggesting a tense or potentially confrontational situation. There is no indication of any weapons or other dangerous objects in the image.",Dataset\20250812\202508123274.jpg,reject
